aber_ein	a b a6
ach_so	a x s @
ach_so	a x s o:
als_du	a l s t
also_eine	a s @ . a
ändert_ihr	E n d E6 ts E6
auch_das	aU x s
auch_einmal	a . a . m O: l
auch_wie	a v I
auf_dem	aU f m
auf_den	aU f n
auf_der	aU f @
auf_die	aU f @
aus_dem	aU s m
auseinander_geschnitten	aU s a n aU n d 6 k S n I t n
bist_du	b I s t
bist_du	b I s ts
bist_du_denn	b I s . t n
bleibst_du	b l aI p s t
brauchen_wir	b r aU x m a
brauchst_du	b r aU x s t
brauchst_du	b r aU x s t @
braucht_es	b r aU x ts
brichst_sie	b r I C s ts
da_hat	d a: t
damit_du	d a m I ts t
damit_du	d a: . m I ts t
damit_es	d a m I ts
damit_sie	d a m I ts
darf_es	d a:6 f s
darfst_du	d a:6 f s ts
darfst_du_ihn	d a:6 f s . t n
darfst_du_ihn	d a: f s . t n
darfst_du_ihn	d E 6 f s . t n
darfst_ihn	d a:6 f s . t n
darfst_ihn	d a: f s . t n
darfst_ihn	d E 6 f s . t n
darum_geht_es	d a r U m g e: ts
da_sind_wir	d a s I m E6
das_habe	s h a: p
das_habe	s h O p
dass_du	d a s ts
dass_es	d a s
dass_sie	d a s I
dass_wir	d a s m @
dem_Papa	m b a: b a:
dem_Papa	m p a: p a:
den_du	d e: n s t
den_es	d e: n s
denkst_du	d E N k s t
denn_du	d E n s t
der_eine	d E6 a n @
der_es	d E6 s
die_du	d i: s t
dir_auch	d I6 a:
drehst_du	d r e: s t
du_dann	d u: d n
du_hast	d u @ s t
dürfen_wir	d E6 f m a
dürfen_wir	d I6 f m a
dürft_ihr	d I6 f ts
ein_bisschen_einen	a: b I s i a
eh_nicht	e: n @ t
er_eh	E6 e:
er_hat	E6 @ t
er_es	E6 s
ersparst_dir	E6 S p a s t @
erzählen_sie	E6 ts E l n s
es_ist	s I s
es_wird	s v I6 t
essen_wir	E s m a
fahren_wir	f a: . m a
fahren_wir	f O 6 . m a
fahren_wir	f o:6 n . m a
falls_du	f a l s ts
falls_sie	f a l s @
fährst_du	f E6 s ts
fällt_es	f a l ts
fände_es	f E n ts
fangen_wir_an	f a N m a a:
fangen_wir_an	f a N m a a n
finde_es	f I n ts
find_es	f I n ts
findest_du_denn	f I n ts t n
findest_du	f I n d e s ts 
findet_ihr	f I n ts
fliegst_du	f l i: k ts
fliegst_du	f l I k ts
für_das	f i:6 s
für_das	f I a s
für_das	f y: 6 s
für_den	f i:6 n
für_den	f I a n
für_den	f y: 6 n
für_die	f y: 6 d @
für_die	f y: 6 t
für_einen	f y:6 n
gäbe_es	g a: b a ts
gäbe_es	g a: v a ts
gefällt_es_ihr	k f a l ts @
gefällt_es_ihr	k f E l ts @
gefällt_es_ihr	k f O l ts @
gefällt_es_ihr	k f OY ts @
gefällt_es_ihr	k f u I ts @
gefällt_es	k f a l ts
gefällt_es	k f E l ts
gefällt_es	k f O l ts
gefällt_es	k f OY ts
gefällt_es	k f u I ts
gehen_sie	g E N a n s
gehen_sie	g E N a n ts
gehen_wir	g E . m a
gehen_wir	g E m a
gehen_wir	g O . m a
gehst_denn	g e: s t n
gehst_du	g e: s ts
ginge_es 	g a N . N a ts
glaubst_du	g l aU p s t
glaubst_du	g l aU p s ts
grinst_du	g r I n s ts
habe_ich	h O . v I
habe_ich_mir	h a b i m a
habe_ich_mir	h a b @ m @
haben_sie	h a m s
haben_sie	h O m s
haben_wir	h a m a
haben_wir	h O m a
habt_ihr	h a p ts
habt_ihr	h O p ts
habt_ihr_ja	h a p ts j a
habt_ihr_ja	h O p ts j a
hast_du	h a s t n
hast_du	h O s t n
hast_es	h a s ts
hat_der	h a t 6
hat_der	h O t 6
hat_es_das	h a ts @ s
hängst_du	h E N s ts
hebst_du	h e p s t
hebst_du	h e p s ts
holen_wir	h o l m a
holt_ihn	h o: l t n
ich_habe	I b
indem_du	I n d e: m s
indem_du	I n d e: m s t
ist_es	I s
ja_du	j @ d
ja_und	j @ n t
jetzt_da	j E t s t @
kann_man	k a m a n
kannst_du	k a n s t
kannst_du	k a n s ts
kannst_sie	k a n s ts
kennst_du	k E n s t
kennst_du	k E n s ts
kommen_wir	k O m a
kommen_wir	k U m a
kommst_dir	k O m s t @
kommst_dir	k O m s t a
kommst_dir	k U m s t @
kommst_dir	k U m s t a
kommst_dir	k O m s ts
kommst_du	k O m s t
können_wir	k 9 m a
können_wir	k E m a
könnt_ihr	k E n t E6
könnt_ihr	k 9 n t E6
könnte_es	k U n . t a ts
könnte_sein	k 9 n t s aI n
könnten_es	k 9 n t @ n s
könnten_wir	k 9 n t m a
könnten_wir	k E n t m a
könntest_du	k 9 n ts t
könntest_du	k E n t @ s t
könntest_du	k E n ts t
könntest_du	k U n t a s t
kriegst_du	k r i k s t
kriegst_du	k r i: k s t
kriegst_du	k r I k s t
läufst_du	l aU f s ts
machst_du	m a x s ts
machst_du	m a x s t
machst_du	m O x s ts
machst_du	m O x s t
macht_sie	m a x ts @
magst_du_dich	m a k s t @
merkst_du	m E6 k s t
mit_dem	m I m
müssten_wir	m i: a s a t n m a
müssen_wir	m i: s m a
müssten_wir	m i: s t m a
musst_du	m U s t
musst_du	m U s ts
müssten_wir	m Y s t m a
müsstest_du	m Y s t @ s t
neben_dem	n e: m
nicht_mehr	n E m @
nicht_mehr	n E m a
nicht_ob_es	n O p s
ob_du	O p st
obwohl_du	O p . v o: l s t
rennen_wir	r E m a
riechst_du	r i: C s t
riechst_du	r i: C s ts
sagen_wir_mal	s a m a m a
sagen_wir_mal	s O m O m O
schaffen_wir	S a f m a
schaffen_wir	S O f m a
schauen_wir_einmal	S aU m a m a
schauen_wir	S aU m a
schaust_du	S aU s ts
schätzt_du	S E ts d u
schätzt_du	S E ts t
schiebst_du	S I p s ts
seid_ihr	s aI ts
sie_den	s i: d n
siehst_du	s i: s t
siehst_du	s i: s ts
sind_es	s a n s
sind_es	s a n ts
sind_wir	s a m a
so_etwas	s o v a s
so_etwas	s o v @ s
soll_es	s OY s
sollen_es	s OY n s
sollen_es	s U I n s
sollen_wir	s o l m a
sollen_wir	s U I m a
sollen_wir	s U l m a
sollten_wir	s o l t m a
sollten_wir	s OY t m a
sollten_wir	s U l m a
solltest_du	s O l t e s ts
sprintest_du	S p r I n t e s ts
stehen_wir	S t e m a
stehen_wir	S t E m a
stehst_du	S t e s ts
telefoniert_hast	t e l e f o n I6 t @ s ts
telefoniert_hat	t e l e f o n I6 t @ t
trainierst_du	t r E n i6 s ts
tun_wir	t u: m a
und_den U n t n
über_die	y: b E6 ts
übersiedelt_ihr	y: b E6 s i: d l ts E6
von_dem	f O m
von_dem	f U m
vor_den	f O6 n
von_der	f O n @
von_der	f U n @
vor_dem	f O6 m
wann_du	v a n s t
wann_du	v a n ts t
war_denn	v a:6 n
waren_wir	v a: m a
waren_wir	v a: m a
warst_du	v a: s ts
wart_ihr	v O a d a
was_weiß_ich_was	v s v @ s I v s
weil_du	v aI l s t
weil_du	v a l s t
weiß_ich_auch_nicht	v a s j @ n @ t
weiß_ich_auch_nicht	v a s j n @ t
weiß_ich_nicht	v a: s @ n @ t
weiß_nicht	v a: s n @ t
weißt_du	v aI s t
weißt_du_denn	v aI s ts t n 
wenn_du_dem	v E n d m
wenn_du_es	v E n s
wenn_du	v E n s t
wenn_ihr	v E n E6 s t
wenn_wir	v E m a
werden_es	v E6 n s
werden_sie	v E6 n s
wie_du	v I d @
wie_du	v i ts t
wie_wir	v I m a
willst_denn	v I l s t n
willst_du	v I l s ts
wirst_du	v I6 s t
wissen_wir	v I s m a
wo_du	v o s t
wo_es_sich	v o s
wo_es_sich	v o s I
wo_es_sich	v o s @ s
wollen_denn	v O l n
wollen_wir	v O l m a
wollen_wir	v O m a
wollten_wir	v O l t m a
wollt_ihr	v O l ts
wollt_ihr	v OY ts
wollt_ihr	v u l a ts
wollte_da	v O l t d @
wollte_ich	v O l t I
worüber_du	v o . r y: . b 6 s t
worüber_du	v o . r y: . b E 6 s t
würdest_du	v Y6 d @ s ts
würdest_denn	v Y6 d @ s t n
würdest_denn	v Y6 d @ ts t n
zahlst_du	ts a l s ts
zu_blöd	ts p l 2: t
zu_blöd	ts p l e: t
zu_blöd	ts u: b l 2: t
zu_etwas_hin	ts u: . v I
zu_etwas_hin	ts U . v I
zugehen_wir	ts u: g E m a
zu_groß	ts g r o: s
zu_haus	ts aU s
