!sil	SIL
<noise>	NSN
<spoken_noise>	SPN
<unk>	SPN
a	a
a	eI
aasgeier	O s g a 6
aasgeier	O s g aI 6
aasgeier	a s g a 6
aasgeier	a s g aI 6
ab	O
ab	O p
ab	a
ab	a p
abarbeiten	O p a b a n
abarbeiten	O p a b a t @ n
abarbeiten	O p a b a t n
abarbeiten	O p a b aI n
abarbeiten	O p a b aI t @ n
abarbeiten	O p a b aI t n
abarbeiten	O p a v a d @ n
abarbeiten	O p a v a d n
abarbeiten	O p a v a n
abarbeiten	O p a v aI d @ n
abarbeiten	O p a v aI d n
abarbeiten	O p a v aI n
abarbeiten	a p a b a n
abarbeiten	a p a b a t @ n
abarbeiten	a p a b a t n
abarbeiten	a p a b aI n
abarbeiten	a p a b aI t @ n
abarbeiten	a p a b aI t n
abarbeiten	a p a v a d @ n
abarbeiten	a p a v a d n
abarbeiten	a p a v a n
abarbeiten	a p a v aI d @ n
abarbeiten	a p a v aI d n
abarbeiten	a p a v aI n
abarbeitest	O p a b a t @ s
abarbeitest	O p a b a t @ s t
abarbeitest	O p a b a t s
abarbeitest	O p a b a t s t
abarbeitest	O p a b aI t @ s
abarbeitest	O p a b aI t @ s t
abarbeitest	O p a b aI t s
abarbeitest	O p a b aI t s t
abarbeitest	O p a v a d @ s
abarbeitest	O p a v a d @ s t
abarbeitest	O p a v a t s
abarbeitest	O p a v a t s t
abarbeitest	O p a v aI d @ s
abarbeitest	O p a v aI d @ s t
abarbeitest	O p a v aI t s
abarbeitest	O p a v aI t s t
abarbeitest	a p a b a t @ s
abarbeitest	a p a b a t @ s t
abarbeitest	a p a b a t s
abarbeitest	a p a b a t s t
abarbeitest	a p a b aI t @ s
abarbeitest	a p a b aI t @ s t
abarbeitest	a p a b aI t s
abarbeitest	a p a b aI t s t
abarbeitest	a p a v a d @ s
abarbeitest	a p a v a d @ s t
abarbeitest	a p a v a t s
abarbeitest	a p a v a t s t
abarbeitest	a p a v aI d @ s
abarbeitest	a p a v aI d @ s t
abarbeitest	a p a v aI t s
abarbeitest	a p a v aI t s t
abbauen	O p b aU @ n
abbauen	O p b aU n
abbauen	a p b aU @ n
abbauen	a p b aU n
abbestellen	O p b @ S t E l @ n
abbestellen	O p b @ S t E l n
abbestellen	O p b S t E l @ n
abbestellen	O p b S t E l n
abbestellen	a p b @ S t E l @ n
abbestellen	a p b @ S t E l n
abbestellen	a p b S t E l @ n
abbestellen	a p b S t E l n
abbiegst	O p b i k s
abbiegst	O p b i k s t
abbiegst	a p b i k s
abbiegst	a p b i k s t
abbinden	O p b I n
abbinden	O p b I n d @ n
abbinden	O p b I n d n
abbinden	a p b I n
abbinden	a p b I n d @ n
abbinden	a p b I n d n
abbrechen	O p b R E @ n
abbrechen	O p b R E C @ n
abbrechen	O p b R E C n
abbrechen	O p b R E n
abbrechen	a p b R E @ n
abbrechen	a p b R E C @ n
abbrechen	a p b R E C n
abbrechen	a p b R E n
abbuchen	O p b u x @ n
abbuchen	O p b u x n
abbuchen	a p b u x @ n
abbuchen	a p b u x n
abbys	@ b I s
abdeckt	O p d E k
abdeckt	O p d E k t
abdeckt	a p d E k
abdeckt	a p d E k t
abdrehen	O p d R e @ n
abdrehen	O p d R e n
abdrehen	a p d R e @ n
abdrehen	a p d R e n
abend	O b @ n
abend	O b @ n t
abend	O b m
abend	O b m t
abend	O b n
abend	O b n t
abend	O m
abend	O m t
abend	O v @ n
abend	O v @ n t
abend	O v n
abend	O v n t
abend	a b @ n
abend	a b @ n t
abend	a b m
abend	a b m t
abend	a b n
abend	a b n t
abend	a m
abend	a m t
abend	a v @ n
abend	a v @ n t
abend	a v n
abend	a v n t
abendessen	O b @ n E s @ n
abendessen	O b @ n t E s @ n
abendessen	O b m t E s n
abendessen	O b n E s n
abendessen	O b n t E s n
abendessen	O m t E s n
abendessen	O v @ n E s @ n
abendessen	O v @ n t E s @ n
abendessen	O v n E s n
abendessen	O v n t E s n
abendessen	a b @ n E s @ n
abendessen	a b @ n t E s @ n
abendessen	a b m t E s n
abendessen	a b n E s n
abendessen	a b n t E s n
abendessen	a m t E s n
abendessen	a v @ n E s @ n
abendessen	a v @ n t E s @ n
abendessen	a v n E s n
abendessen	a v n t E s n
abendrot	O b @ n d R o
abendrot	O b @ n d R o t
abendrot	O b m d R o
abendrot	O b m d R o t
abendrot	O b n d R o
abendrot	O b n d R o t
abendrot	O m d R o
abendrot	O m d R o t
abendrot	O v @ n d R o
abendrot	O v @ n d R o t
abendrot	O v n d R o
abendrot	O v n d R o t
abendrot	a b @ n d R o
abendrot	a b @ n d R o t
abendrot	a b m d R o
abendrot	a b m d R o t
abendrot	a b n d R o
abendrot	a b n d R o t
abendrot	a m d R o
abendrot	a m d R o t
abendrot	a v @ n d R o
abendrot	a v @ n d R o t
abendrot	a v n d R o
abendrot	a v n d R o t
abends	O b @ n s
abends	O b @ n t s
abends	O b m t s
abends	O b n s
abends	O b n t s
abends	O m t s
abends	O v @ n s
abends	O v @ n t s
abends	O v n s
abends	O v n t s
abends	a b @ n s
abends	a b @ n t s
abends	a b m t s
abends	a b n s
abends	a b n t s
abends	a m t s
abends	a v @ n s
abends	a v @ n t s
abends	a v n s
abends	a v n t s
aber	O b 6
aber	a b 6
aber_ein	a b a6
abfluss	O p f l U s
abfluss	a p f l U s
abfriert	O p f R i 6
abfriert	O p f R i 6 t
abfriert	a p f R i 6
abfriert	a p f R i 6 t
abg	O p
abg	O p k
abg	a p
abg	a p k
abgaben	O p g a b @ n
abgaben	O p g a b m
abgaben	O p g a b n
abgaben	O p g a m
abgaben	O p g a v @ n
abgaben	O p g a v n
abgaben	a p g a b @ n
abgaben	a p g a b m
abgaben	a p g a b n
abgaben	a p g a m
abgaben	a p g a v @ n
abgaben	a p g a v n
abge	O p
abge	O p g
abge	O p g @
abge	a p
abge	a p g
abge	a p g @
abgebaut	O p b aU
abgebaut	O p b aU t
abgebaut	O p g @ b aU
abgebaut	O p g @ b aU t
abgebaut	O p g @ v aU
abgebaut	O p g @ v aU t
abgebaut	O p g b aU
abgebaut	O p g b aU t
abgebaut	a p b aU
abgebaut	a p b aU t
abgebaut	a p g @ b aU
abgebaut	a p g @ b aU t
abgebaut	a p g @ v aU
abgebaut	a p g @ v aU t
abgebaut	a p g b aU
abgebaut	a p g b aU t
abgeben	O p g e b @ n
abgeben	O p g e b m
abgeben	O p g e b n
abgeben	O p g e m
abgeben	O p g e v @ n
abgeben	O p g e v n
abgeben	a p g e b @ n
abgeben	a p g e b m
abgeben	a p g e b n
abgeben	a p g e m
abgeben	a p g e v @ n
abgeben	a p g e v n
abgebildet	O p b I l
abgebildet	O p b I l d @
abgebildet	O p b I l d @ t
abgebildet	O p b I l t
abgebildet	O p b y
abgebildet	O p b y d @
abgebildet	O p b y d @ t
abgebildet	O p b y t
abgebildet	O p g @ b I l
abgebildet	O p g @ b I l d @
abgebildet	O p g @ b I l d @ t
abgebildet	O p g @ b I l t
abgebildet	O p g @ b y
abgebildet	O p g @ b y d @
abgebildet	O p g @ b y d @ t
abgebildet	O p g @ b y t
abgebildet	O p g @ v I l
abgebildet	O p g @ v I l d @
